Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
Athaliana_TAIR10,AT4G37270,HMA1,Zn,10.1111/j.1365-313X.2009.03818.x,,Shoots,NA
Athaliana_TAIR10,AT5G02600,NaKR1,"Na,K,Rb",10.1105/tpc.110.080010,NA,Leaf,NA
Athaliana_TAIR10,AT5G03455,ACR2,"As,P",10.1073/pnas.0509770102,,"Roots,shoots",NA
Athaliana_TAIR10,AT5G03570,FPN2,"Co,Ni",10.1105/tpc.109.069401;10.1074/jbc.M601062200,NA,Leaf,IREG2
Athaliana_TAIR10,AT5G09690,MGT7,Mg,10.1093/jxb/err283,,Shoots,NA
Athaliana_TAIR10,AT5G13740,ZIF1,"Zn,Fe",10.1105/tpc.111.095042,,Shoots,NA
Athaliana_TAIR10,AT5G15070,VIH1,P,10.7554/eLife.43582,,Shoots,NA
Athaliana_TAIR10,AT5G15410,CNGC2/DND1,"Ca,Mg",10.1371/journal.pone.0063014,,seeds,NA
Athaliana_TAIR10,AT5G17290,APG5,"Fe, Mn, Zn",10.1093/jxb/ery388,,"Leaf, shoots, seeds",NA
Athaliana_TAIR10,AT5G18830,SPL7,Cu,10.1105/tpc.111.090431,NA,"Shoots, roots",NA
Athaliana_TAIR10,AT5G20650,COPT5,Cu,10.1111/j.1469-8137.2011.03798.x,,"Shoots,Root,Seeds",NA
Athaliana_TAIR10,AT5G35410,SOS2,Na,10.1371/journal.pone.0063014,,seeds,NA
Athaliana_TAIR10,AT5G42130,Mfl1,Fe,10.1016/j.plaphy.2011.02.003,,"Leaves,shoots",NA
Athaliana_TAIR10,AT5G43350,PHT1;1,"P,As",10.1111/j.1365-313X.2004.02161.x;10.1105/tpc.106.041871,,Shoots,PT1
Athaliana_TAIR10,AT5G44070,PCS1,"Zn,Cd,As",10.1093/pcp/pcw148;10.1016/j.chemosphere.2008.04.018,NA,Leaf,CAD1
Athaliana_TAIR10,AT5G50150,LOTR1,Ca,10.1016/j.cub.2017.01.030,,Shoots,NA
Athaliana_TAIR10,AT5G53130,CNGC1,Pb,10.1046/j.1365-313x.2000.00901.x,NA,Leaf,NA
Athaliana_TAIR10,AT5G53550,YSL3,"Fe,Zn,Cu",10.1104/pp.110.90033,NA,NA,NA
Athaliana_TAIR10,AT5G54680,ILR3,"Cd,Co,Fe,Mn,Zn",10.1534/genetics.106.061044,NA,Leaf,NA
Athaliana_TAIR10,AT5G54810,TSB1,Cd,10.1111/j.1365-3040.2008.01819.x,,"Roots,shoots",NA
Athaliana_TAIR10,AT5G57620,MYB36,"Li, B, Na, Mg, K, Ca, Mn, Fe, Co, Ni, Cu, Zn, Rb, Sr, Mo, Cd",10.1073/pnas.1507691112,NA,Shoots,NA
Athaliana_TAIR10,AT5G59030,COPT1,Cu,10.1074/jbc.M313321200,,"Seed,Leaf",NA
Athaliana_TAIR10,AT5G64930,CPR5,K,10.1371/journal.pone.0026360,NA,Leaf,NA
Athaliana_TAIR10,AT5G67330,NRAMP4,"Fe,Mn,Zn",10.1104/pp.109.150946,NA,"Roots,Shoots",NA
Gmax_Wm82.a2.v1,Glyma.17G203000,MOT1.1,"Mo",10.1016/j.cub.2023.10.072,,"Leaf,Seed,Roots,Shoots",
Gmax_Wm82.a2.v1,Glyma.17G203200,MOT1.2,"Mo",10.1016/j.cub.2023.10.072,,"Leaf,Seed,Roots,Shoots",
Mtruncatula_Mt4.0v1,Medtr1g010270,MOT1.2,Mo,10.1111/pce.13388,NA,Nodules,NA
Mtruncatula_Mt4.0v1,Medtr3g088460,NRAMP1,Fe,10.1104/pp.114.254672,NA,Nodules,NA
Mtruncatula_Mt4.0v1,Medtr3g464210,MOT1.3,Mo,10.1111/nph.14739,NA,Nodules,NA
Mtruncatula_Mt4.0v1,Medtr4g019870,COPT1,Cu,10.1111/nph.14992,NA,Nodules,NA
Mtruncatula_Mt4.0v1,Medtr4g064893,MTP2,Zn,10.3389/fpls.2018.00990,NA,Nodules,NA
Mtruncatula_Mt4.0v1,Medtr4g083570,ZIP6,Zn,10.1111/pce.13035,NA,Nodules,NA
Osativa_v7.0,LOC_Os01g03914,MTP9,Mn,10.1038/nplants.2015.170,NA,Shoots,NA
Osativa_v7.0,LOC_Os01g08300,CDT3,Al,10.1111/tpj.12296,,Roots,NA
Osativa_v7.0,LOC_Os01g20160,HKT1;5,Na,10.1111/tpj.13595,,"Leaf, shoots",Previously HKT8
Osativa_v7.0,LOC_Os01g45990,AKT1,K,10.1093/jxb/erw103,NA,NA,NA
Osativa_v7.0,LOC_Os01g57710,OsDISMO1,"Mo",10.1186/s12284-025-00821-4,NA,"Seeds,Leaf",NA
Osativa_v7.0,LOC_Os01g64250,HORZ1,Fe,10.1038/ncomms3792,NA,"Shoots, seeds",NA
Osativa_v7.0,LOC_Os01g64890,MGT1,"Mg,Na",10.1104/pp.17.00532,,"Roots,Shoots",NA
Osativa_v7.0,LOC_Os01g72370,IRO2,"Fe,Mn,Zn,Cu",10.1007/s11103-011-9752-6;10.1093/jxb/erad439,,"Shoots,Seeds,Roots",NA
Osativa_v7.0,LOC_Os02g01220,HAC1;1,As,10.1104/pp.16.01332,,"Roots,shoots,seeds",NA
Osativa_v7.0,LOC_Os02g02480,bHLH59,Fe,10.1007/s11103-019-00917-8,,Seeds,NA
Osativa_v7.0,LOC_Os02g03900,NRAMP4,Al,10.1073/pnas.1004949107,,Roots,Paper uses Nrat1 gene name
Osativa_v7.0,LOC_Os02g06290,HAC4,As,10.1111/nph.14572,NA,Seed,NA
Osativa_v7.0,LOC_Os02g10290,HMA4,Cu,10.1038/ncomms12138,NA,"Roots,shoots,seeds",NA
Osativa_v7.0,LOC_Os02g13870,NIP1;1,As,10.1111/nph.15190,,Shoots,NA
Osativa_v7.0,LOC_Os02g43370,YSL2,"Fe,Mn",10.1111/j.1365-313X.2010.04158.x,NA,Seeds,NA
Osativa_v7.0,LOC_Os02g43410,YSL15,Fe,10.1104/pp.109.135418,NA,"Roots,shoots,seeds",NA
Osativa_v7.0,LOC_Os02g51110,LSI1,Se,10.1104/pp.110.157867,,"Roots,shoots",NA
Osativa_v7.0,LOC_Os02g53490,MTP8.2,Mn,10.1093/pcp/pcx082,NA,"Shoots,Roots",NA
Osativa_v7.0,LOC_Os02g56510,PHO1;2,P,10.1104/pp.109.149872,,Shoots,NA
Osativa_v7.0,LOC_Os03g01700,LSI2,As,10.1073 pnas.0802361105,,"Shoots,seeds",NA
